MsgID.LOCAL_POSITION,240.4400000,379.6087341,-199.7929077,-0.0889993
MsgID.LOCAL_VELOCITY,240.4400000,-0.0000018,0.0000535,0.0000127
MsgID.GLOBAL_POSITION,0.0000000,-122.3996972,37.7958965,0.0990000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,240.6900000,379.6435547,-199.8809357,-0.1303444
MsgID.LOCAL_VELOCITY,240.6900000,0.0000062,0.0000608,0.0000132
MsgID.GLOBAL_POSITION,0.0000000,-122.3996991,37.7958968,0.1350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,240.9410000,379.5763855,-200.0214996,-0.1654397
MsgID.LOCAL_VELOCITY,240.9410000,-0.0000050,0.0000433,0.0000176
MsgID.GLOBAL_POSITION,0.0000000,-122.3997000,37.7958959,0.1700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,241.1910000,379.4587402,-199.8634186,-0.1985358
MsgID.LOCAL_VELOCITY,241.1910000,-0.0000087,0.0000423,0.0000228
MsgID.GLOBAL_POSITION,0.0000000,-122.3996983,37.7958952,0.2040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,241.4410000,379.6260376,-199.9153137,-0.2220609
MsgID.LOCAL_VELOCITY,241.4410000,0.0004115,-0.0005009,-0.0000601
MsgID.GLOBAL_POSITION,0.0000000,-122.3996990,37.7958969,0.2270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,241.6910000,379.6889343,-199.8254547,-0.2320072
MsgID.LOCAL_VELOCITY,241.6910000,-0.0000008,0.0000517,0.0000167
MsgID.GLOBAL_POSITION,0.0000000,-122.3996977,37.7958973,0.2310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,241.9420000,379.7762146,-199.8782196,-0.2220722
MsgID.LOCAL_VELOCITY,241.9420000,0.0000069,0.0000582,0.0000125
MsgID.GLOBAL_POSITION,0.0000000,-122.3996992,37.7958981,0.2160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,242.1920000,379.7743225,-200.0256805,-0.1895459
MsgID.LOCAL_VELOCITY,242.1920000,0.0000037,0.0000608,0.0000176
MsgID.GLOBAL_POSITION,0.0000000,-122.3996999,37.7958976,0.1790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,242.4420000,379.5503845,-199.7795258,-0.1415623
MsgID.LOCAL_VELOCITY,242.4420000,-0.0000030,0.0000499,0.0000163
MsgID.GLOBAL_POSITION,0.0000000,-122.3996972,37.7958954,0.1270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,242.6930000,379.5093689,-199.8505554,-0.0913440
MsgID.LOCAL_VELOCITY,242.6930000,0.0000005,0.0000504,0.0000106
MsgID.GLOBAL_POSITION,0.0000000,-122.3996990,37.7958960,0.0770000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,242.9430000,379.7199707,-200.0068512,-0.0364625
MsgID.LOCAL_VELOCITY,242.9430000,-0.0000001,0.0000554,0.0000201
MsgID.GLOBAL_POSITION,0.0000000,-122.3996997,37.7958977,0.0230000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,243.1930000,379.7695923,-199.7677917,0.0112091
MsgID.LOCAL_VELOCITY,243.1930000,0.0000004,0.0000395,0.0000141
MsgID.GLOBAL_POSITION,0.0000000,-122.3996968,37.7958979,-0.0200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,243.4430000,379.7402039,-199.7037201,0.0373066
MsgID.LOCAL_VELOCITY,243.4430000,-0.0000077,0.0000227,0.0000124
MsgID.GLOBAL_POSITION,0.0000000,-122.3996970,37.7958973,-0.0400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,243.6940000,379.6173706,-199.9060211,0.0432479
MsgID.LOCAL_VELOCITY,243.6940000,-0.0000030,0.0000205,0.0000089
MsgID.GLOBAL_POSITION,0.0000000,-122.3996991,37.7958965,-0.0400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,243.9440000,379.6347961,-199.8422089,0.0241583
MsgID.LOCAL_VELOCITY,243.9440000,-0.0000050,0.0000325,0.0000124
MsgID.GLOBAL_POSITION,0.0000000,-122.3996979,37.7958966,-0.0180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,244.1940000,379.6076965,-199.8365631,-0.0115589
MsgID.LOCAL_VELOCITY,244.1940000,-0.0000042,0.0000375,0.0000155
MsgID.GLOBAL_POSITION,0.0000000,-122.3996983,37.7958964,0.0190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,244.4440000,379.6086426,-199.8798370,-0.0578093
MsgID.LOCAL_VELOCITY,244.4440000,-0.0000076,0.0000419,0.0000116
MsgID.GLOBAL_POSITION,0.0000000,-122.3996986,37.7958964,0.0670000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,244.6950000,379.6094971,-199.8214722,-0.0992598
